ventana_id,accion,coordenadas,fecha_hora
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:06
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:15:08
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:12
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:22
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:15:24
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:27
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:31
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:15:32
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:15:36
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:16:09
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:16:12
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:16:15
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:16:23
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:16:27
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:16:28
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:21:00
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:21:01
RuneLite,clic_imagen,"(np.int64(709), np.int64(215))",2024-12-13 14:21:04
RuneLite,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:21:12
RuneLite,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:21:14
RuneLite,clic_imagen,"(np.int64(709), np.int64(215))",2024-12-13 14:21:19
RuneLite - Umbradeath,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:28:03
RuneLite - Umbradeath,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:28:07
RuneLite - Umbradeath,clic_imagen,"(np.int64(709), np.int64(215))",2024-12-13 14:28:10
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:28:15
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:28:18
RuneLite - Ibis Autumn,clic_imagen,"(np.int64(709), np.int64(215))",2024-12-13 14:28:21
RuneLite - Umbradeath,clic_imagen,"(np.int64(677), np.int64(215))",2024-12-13 14:30:20
RuneLite - Umbradeath,clic_imagen,"(np.int64(677), np.int64(512))",2024-12-13 14:30:25
